name,url,rank,rankchange,section,type,hiringtype
Upwork,https://upwork.com,500,-50,Clients,Clients,Software
PeoplePerHour,https://www.peopleperhour.com,"6,000",-600,Clients,Clients,Designers
Toptal,https://www.toptal.com/,"7,000","-3,000",Clients,Clients,Designers & Software
Guru.com,http://www.guru.com/,"10,000","-1,000",Clients,Clients,Software
CodeMentor.io,https://codementor.io,"10,000","-4,000",Clients,Clients & Tutoring,Software
Folyo,https://www.folyo.me,"1,000,000","600,000",Clients,Clients,Designers & Software
Certace,https://www.certace.com,"9,000,000",,Clients,Clients,Data Science
Loom,https://www.joinloom.com,"10,000,000","10,000,000",Clients,Clients,
Stack Overflow Careers,http://careers.stackoverflow.com/jobs/remote,60,-10,Jobs,Jobs,Software
Dribbble Jobs,https://dribbble.com/obs?utf8=%E2%9C%93&amp;anywhere=true&amp;location=Anywhere,"1,000",-100,Jobs,Jobs,Designers
Angel List Jobs,https://angel.co/jobs#find/f!%7B%22remote%22%3Atrue%7D,"2,000",-600,Jobs,Jobs,Variety
FlexJobs,https://www.flexjobs.com,"20,000","-10,000",Jobs,Jobs & Clients,Software
Hired,https://hired.com/,"20,000","-4,000",Jobs,Jobs,Software
We Work Remotely,https://weworkremotely.com/,"40,000","-60,000",Jobs,Jobs,
Remote|OK,https://remoteok.io/,"50,000","-8,000",Jobs,Jobs,
No Fluff Jobs,https://nofluffjobs.com/#criteria=remote,"70,000","-20,000",Jobs,Jobs,
Authentic Jobs,http://www.authenticjobs.com/#onlyremote=1,"100,000","-20,000",Jobs,Jobs,Designers & Software
Working Nomads,http://www.workingnomads.co/jobs,"200,000","-20,000",Jobs,Jobs,
WFH,https://www.wfh.io/,"400,000","-200,000",Jobs,Jobs,Software
Remotely Awesome Jobs,https://www.remotelyawesomejobs.com,"500,000","500,000",Jobs,Jobs,
Golang Jobs,http://www.golangprojects.com/golang-remote-jobs.html,"800,000","800,000",Jobs,Jobs,Golang developers
RemoteBase,https://remotebase.io/,"900,000","200,000",Jobs,Jobs,Software
Coworks.com,https://coworks.com/for-freelancers/,"1,000,000","-700,000",Jobs,Jobs,
Seven Days,https://www.sevendays.co/,"2,000,000","900,000",Jobs,Jobs,
Jobmote,http://jobmote.com/,"2,000,000","-2,000,000",Jobs,Jobs,
Remote Friendly,https://remotefriendly.work,"4,000,000",,Jobs,Jobs,
Freelance Dev Leads,https://freelancedevleads.com/,"8,000,000",,Jobs,Jobs,
Curated Jobs,http://curatedjobs.spirofloropoulos.com/,"10,000,000",,Jobs,Jobs,
Jobbox,https://www.jobbox.io/offers?t=&amp;s=featured&amp,"10,000,000",,Jobs,Jobs,
Jobscribe,http://jobscri.be/,"10,000,000",,Jobs,Jobs,
Fiverr,https://www.fiverr.com/,400,20,Other,Gigs,Variety
HackHands,https://hackhands.com,"200,000","-60,000",Other,Tutoring,
#freelance,http://freelance.chat/,"1,000,000","400,000",Other,Community,Software
#frontenddevelopers.org,http://frontenddevelopers.org/,"2,000,000","1,000,000",Other,Community,
Domino,https://www.wearedomino.com/freelancer,"10,000,000","2,000,000",Other,Community,
Codeable,https://codeable.io/,"100,000","60,000",Agency,Agency,Wordpress software developers
Crew,https://crew.co/,"100,000","-50,000",Agency,Agency,
Working Not Working,https://workingnotworking.com/,"100,000","-400,000",Agency,Agency,
X-Team,http://x-team.com,"200,000","-300,000",Agency,Agency,
DOZ.com,https://www.doz.com,"300,000","200,000",Agency,Agency,Marketing
Gun.io,https://gun.io/,"400,000","-500,000",Agency,Agency,Software
Lightboard,https://lightboard.io,"500,000","300,000",Agency,Agency,Designers
CodersClan.net,https://codersclan.net,"700,000","-900,000",Agency,Agency,
Moonlight,https://www.moonlightwork.com,"1,000,000",,Agency,Agency,Software
10xmanagement,https://www.10xmanagement.com/,"1,000,000","1,000,000",Agency,Agency,Designers & Software
Pilot,https://pilot.co/,"1,000,000","900,000",Agency,Agency,Software
